starttimes,endtimes,classes
2017-05-29T21:08:02.748500Z,2017-05-29T21:10:21.748500Z,0.0
2017-05-29T21:08:02.748500Z,2017-05-29T21:10:21.748500Z,0.0
2017-05-29T23:16:16.569800Z,2017-05-29T23:18:22.569800Z,2.0
2017-05-29T23:16:16.569800Z,2017-05-29T23:18:22.569800Z,2.0
2017-05-30T07:03:12.093200Z,2017-05-30T07:05:18.093200Z,2.0
2017-05-30T07:03:12.093200Z,2017-05-30T07:05:18.093200Z,2.0
2017-05-30T13:42:23.679400Z,2017-05-30T13:44:42.679400Z,0.0
2017-05-30T13:42:23.679400Z,2017-05-30T13:44:42.679400Z,0.0
2017-05-30T14:25:24.983800Z,2017-05-30T14:27:30.983800Z,2.0
2017-05-30T14:25:24.983800Z,2017-05-30T14:27:30.983800Z,2.0
2017-05-30T17:56:06.107700Z,2017-05-30T17:58:38.107700Z,2.0
2017-05-30T17:56:06.107700Z,2017-05-30T17:58:38.107700Z,2.0
2017-05-30T18:12:00.885600Z,2017-05-30T18:13:53.885600Z,2.0
2017-05-30T18:12:00.885600Z,2017-05-30T18:13:53.885600Z,2.0
2017-05-30T19:23:26.221800Z,2017-05-30T19:25:19.221800Z,0.0
2017-05-30T19:23:26.221800Z,2017-05-30T19:25:19.221800Z,0.0
2017-05-30T20:00:43.591400Z,2017-05-30T20:02:49.591400Z,0.0
2017-05-30T20:00:43.591400Z,2017-05-30T20:02:49.591400Z,0.0
2017-05-30T20:03:44.857500Z,2017-05-30T20:05:37.857500Z,0.0
2017-05-30T20:03:44.857500Z,2017-05-30T20:05:37.857500Z,0.0
2017-05-30T21:34:14.330100Z,2017-05-30T21:36:20.330100Z,0.0
2017-05-30T21:34:14.330100Z,2017-05-30T21:36:20.330100Z,0.0
2017-05-30T23:00:44.694400Z,2017-05-30T23:02:37.694400Z,2.0
2017-05-30T23:00:44.694400Z,2017-05-30T23:02:37.694400Z,2.0
2017-05-30T23:40:52.466200Z,2017-05-30T23:43:11.466200Z,0.0
2017-05-30T23:40:52.466200Z,2017-05-30T23:43:11.466200Z,0.0
2017-05-31T09:26:04.586900Z,2017-05-31T09:28:23.586900Z,2.0
2017-05-31T09:26:04.586900Z,2017-05-31T09:28:23.586900Z,2.0
2017-05-31T09:30:35.763900Z,2017-05-31T09:32:54.763900Z,2.0
2017-05-31T09:30:35.763900Z,2017-05-31T09:32:54.763900Z,2.0
2017-06-01T04:06:28.321900Z,2017-06-01T04:08:21.321900Z,2.0
2017-06-01T04:06:28.321900Z,2017-06-01T04:08:21.321900Z,2.0
2017-06-02T20:17:33.855400Z,2017-06-02T20:19:39.855400Z,2.0
2017-06-02T20:17:33.855400Z,2017-06-02T20:19:39.855400Z,2.0
2017-06-03T00:01:13.053900Z,2017-06-03T00:03:06.053900Z,0.0
2017-06-03T00:01:13.053900Z,2017-06-03T00:03:06.053900Z,0.0
2017-06-03T00:01:17.328600Z,2017-06-03T00:03:10.328600Z,2.0
2017-06-03T00:01:17.328600Z,2017-06-03T00:03:10.328600Z,2.0
2017-06-03T00:01:29.360100Z,2017-06-03T00:03:09.360100Z,2.0
2017-06-03T00:01:29.360100Z,2017-06-03T00:03:09.360100Z,2.0
2017-06-03T08:08:49.651500Z,2017-06-03T08:10:55.651500Z,2.0
2017-06-03T08:08:49.651500Z,2017-06-03T08:10:55.651500Z,2.0
2017-06-04T00:01:27.370500Z,2017-06-04T00:03:46.370500Z,0.0
2017-06-04T00:01:27.370500Z,2017-06-04T00:03:46.370500Z,0.0
2017-06-04T00:01:41.587000Z,2017-06-04T00:03:47.587000Z,2.0
2017-06-04T00:01:41.587000Z,2017-06-04T00:03:47.587000Z,2.0
2017-06-04T00:50:30.807400Z,2017-06-04T00:52:49.807400Z,2.0
2017-06-04T00:50:30.807400Z,2017-06-04T00:52:49.807400Z,2.0
2017-06-04T01:06:45.112300Z,2017-06-04T01:09:04.112300Z,0.0
2017-06-04T01:06:45.112300Z,2017-06-04T01:09:04.112300Z,0.0
2017-06-04T01:11:16.899100Z,2017-06-04T01:13:22.899100Z,0.0
2017-06-04T01:11:16.899100Z,2017-06-04T01:13:22.899100Z,0.0
2017-06-04T01:19:13.121300Z,2017-06-04T01:21:19.121300Z,0.0
2017-06-04T01:19:13.121300Z,2017-06-04T01:21:19.121300Z,0.0
2017-06-04T01:19:15.895900Z,2017-06-04T01:21:21.895900Z,2.0
2017-06-04T01:19:15.895900Z,2017-06-04T01:21:21.895900Z,2.0
2017-06-04T01:20:15.892500Z,2017-06-04T01:22:08.892500Z,2.0
2017-06-04T01:20:15.892500Z,2017-06-04T01:22:08.892500Z,2.0
2017-06-04T02:23:25.769400Z,2017-06-04T02:25:44.769400Z,0.0
2017-06-04T02:23:25.769400Z,2017-06-04T02:25:44.769400Z,0.0
2017-06-04T02:23:33.529100Z,2017-06-04T02:25:52.529100Z,2.0
2017-06-04T02:23:33.529100Z,2017-06-04T02:25:52.529100Z,2.0
2017-06-04T03:01:07.607200Z,2017-06-04T03:03:00.607200Z,2.0
2017-06-04T03:01:07.607200Z,2017-06-04T03:03:00.607200Z,2.0
2017-06-05T16:50:21.248900Z,2017-06-05T16:52:27.248900Z,0.0
2017-06-05T16:50:21.248900Z,2017-06-05T16:52:27.248900Z,0.0
2017-06-05T16:50:24.501000Z,2017-06-05T16:52:17.501000Z,2.0
2017-06-05T16:50:24.501000Z,2017-06-05T16:52:17.501000Z,2.0
2017-06-06T02:30:16.599800Z,2017-06-06T02:32:48.599800Z,2.0
2017-06-06T02:30:16.599800Z,2017-06-06T02:32:48.599800Z,2.0
2017-06-06T02:30:32.094700Z,2017-06-06T02:32:51.094700Z,0.0
2017-06-06T02:30:32.094700Z,2017-06-06T02:32:51.094700Z,0.0
2017-06-06T02:30:32.501000Z,2017-06-06T02:32:51.501000Z,2.0
2017-06-06T02:30:32.501000Z,2017-06-06T02:32:51.501000Z,2.0
2017-06-06T02:58:41.451500Z,2017-06-06T03:00:34.451500Z,2.0
2017-06-06T02:58:41.451500Z,2017-06-06T03:00:34.451500Z,2.0
2017-06-06T02:58:56.282600Z,2017-06-06T03:00:36.282600Z,0.0
2017-06-06T02:58:56.282600Z,2017-06-06T03:00:36.282600Z,0.0
